Phrase-clé,score
('la sensibilité articulaire', 0.6353)
('la sensibilité tactile', 0.6316)
('sensibilité tactile au', 0.6193)
('la sensibilité tend', 0.6176)
('sensibilité articulaire', 0.6168)
('section semi lunaire', 0.6149)
('semi lunaire segment', 0.6089)
('membre supérieur gauche', 0.6001)
('action de acide', 0.5987)
('cérébral thalamique', 0.5895)
('prière le malade', 0.5852)
('cule cérébral thalamique', 0.5845)
('anatomie cérébrale', 0.5841)
('120 le poumon', 0.5837)
('anatomie cérébrale les', 0.5828)
('lunaire segment', 0.5796)
('pédoncule cérébral examiné', 0.5733)
('membre inférieur gauche', 0.5705)
('malade cette prière', 0.5678)
('articulations du poignet', 0.567)
('lunaire segment posté', 0.5637)
('prière la maladie', 0.5636)
('acide anorganique on', 0.5608)
('postérieur innervation physiologie', 0.553)
('postérieure du ventricule', 0.5502)
('syphilis médullaire histoire', 0.5502)
('les acides anorganiques', 0.5499)
('testicule les cellules', 0.5488)
('sexualité étaient absolument', 0.5488)
('les acides organiques', 0.545)
('somnambulisme les muscles', 0.5443)
('acides organiques', 0.5432)
('dépressions latérales arcades', 0.543)
('lunaire inférieur moitié', 0.5391)
('extraction de pierre', 0.5357)
('est presque symétrique', 0.5328)
('postérieure du corps', 0.532)
('gémissement la prière', 0.5318)
('dorsale supérieure droite', 0.5287)
('prière la prière', 0.5273)
('pierres extraction', 0.5266)
('postérieure du thorax', 0.5261)
('dorsale de organe', 0.5259)
('la syphilis médullaire', 0.5247)
('articulations de épaule', 0.5242)
('articulations des genoux', 0.5224)
('articulations des coudes', 0.5182)
('3g7 70 centimètres', 0.5181)
('syndrome ordinaire simule', 0.5143)
('membre inférieur droit', 0.5124)
('hypnotisme septembre 1890', 0.5118)
('zones intercostales', 0.5118)
('la sexualité étaient', 0.5113)
('pierres extraction fut', 0.5112)
('1891 vintras hypnotisme', 0.5089)
('ligaments articulaires étendaient', 0.5072)
('syphilis le rhumatisme', 0.5061)
('hypnotisme avril 1890', 0.5056)
('asymétrique les mains', 0.5049)
('congestion pulmonaire 27', 0.5047)
('la tuberculose ou', 0.5045)
('troubles hystériques simulant', 0.5043)
('ciale gauche syndrome', 0.5031)
('tuberculose pulmonaire davi', 0.5028)
('tuberculose pulmonaire broncho', 0.502)
('1891 myers hypnotisme', 0.5017)
('flexion du pied', 0.5017)
('flexion des doigts', 0.5014)
('ganglion labial interne', 0.5008)
('le ganglion oral', 0.5005)
('le testicule ectopié', 0.5002)
('cellules des cornes', 0.4999)
('tuberculose pulmonaire', 0.4996)
('de tuberculose pulmonaire', 0.4994)
('hémorragies sous arachnoidiennes', 0.4993)
('les petits vaisseaux', 0.499)
('rien anormal examen', 0.4988)
('des pierres extraction', 0.4976)
('hémorragies sous arachnoïdiennes', 0.4976)
('hypnotisme en 1889', 0.4972)
('simulation involontaire joue', 0.4967)
('hémorragie méningée constatée', 0.4962)
('gauche syndrome de', 0.4961)
('la simulation involontaire', 0.4958)
('la tuberculose delamare', 0.4957)
('gauche les artères', 0.4954)
('syphilis rhumatisme etsyphilis', 0.4953)
('expulsion de pierres', 0.4934)
('testicule ectopié les', 0.4934)
('sexualité étaient', 0.4933)
('athrepsie tuberculose pulmonaire', 0.4926)
('le syndrome organique', 0.4907)
('du crâne microcéphales', 0.4892)
('est asymétrique', 0.489)
('plante du pied', 0.4887)
('hémorragies ventriculaires', 0.4887)
('vasculaire les cellules', 0.4886)
('adduction du pied', 0.488)
('tuberculose ou la', 0.4879)
('est une asymétrie', 0.4879)
('au sommeil hypnotique', 0.4877)
('la tuberculose chronique', 0.4877)
('pulmonaire 27', 0.4877)
('44 ans syphilis', 0.4872)
('du pied extenseur', 0.487)
('tuberculose paludisme des', 0.4866)
('simulation involontaire', 0.4857)
('anormal examen ophtalmoscopique', 0.4857)
('gauche syndrome', 0.4851)
('pied ce réflexe', 0.4849)
('sommeil hypnotique chez', 0.4839)
('1909 la main', 0.4836)
('psychique du syndrome', 0.4829)
('ganglion oral', 0.4827)
('doigts en flexion', 0.4812)
('occipitales bosses frontales', 0.4811)
('père grand fumeur', 0.4803)
('du pouce droit', 0.4801)
('altérations cellulaires appréciables', 0.4799)
('corrélatives des neurones', 0.4798)
('au ganglion labial', 0.4789)
('des hémorragies ventriculaires', 0.4789)
('la zone anesthésie', 0.4788)
('7e paire muscles', 0.4783)
('symptômes cérébraux disparaissent', 0.4783)
('traînées de cellules', 0.4782)
('interdit aux prêtres', 0.4775)
('épileptique bromure de', 0.4773)
('cette symétrie est', 0.4771)
('endormi depuis elle', 0.4765)
('hypophyse du testicule', 0.4743)
