Filename;Keyphrase;Score
CA_000007_001_texte.txt;crânes entiers ulcérés;0.7723
CA_000007_001_texte.txt;séquestres alvéolaires;0.7544
CA_000007_001_texte.txt;éraillemens aponévrotiques;0.7532
CA_000007_001_texte.txt;infiltration urineuse;0.7510
CA_000007_001_texte.txt;érysipèle phlegmoneux;0.7499
CA_000007_001_texte.txt;chapelet ganglionaire sous-jaeent;0.7736
CA_000007_001_texte.txt;apophyses transverses;0.7711
CA_000007_001_texte.txt;infiltrations purulentes;0.7674
CA_000007_001_texte.txt;apophyse coracoide;0.7670
CA_000007_001_texte.txt;apophyses transverses lombaires;0.7634
CA_000007_001_texte.txt;humidité neutraliserait;0.7847
CA_000007_001_texte.txt;ulcérations longitudinales;0.7520
CA_000007_001_texte.txt;altérations artificielles;0.7443
CA_000007_001_texte.txt;absorption délétère;0.7442
CA_000007_001_texte.txt;iiémorriiagie veineuse;0.7413
CA_000007_001_texte.txt;infiltration urineuse;0.7665
CA_000007_001_texte.txt;infiltration purulente;0.7661
CA_000007_001_texte.txt;anastomoses veineuses anévrismatiques;0.7642
CA_000007_001_texte.txt;ulcérations graves;0.7608
CA_000007_001_texte.txt;malades pusillanimes;0.7598
CA_000007_001_texte.txt;lathérapeutiquechirurgicaledestumeursavecdégénérescence;0.7364
CA_000007_001_texte.txt;lipomes sous-aponévrotiques;0.7327
CA_000007_001_texte.txt;aponévrose antibrachiale;0.7313
CA_000007_001_texte.txt;anastomoses collatérales;0.7253
CA_000007_001_texte.txt;apophyse mastoïde;0.7238
CA_000007_001_texte.txt;apophyse coracoïde;0.7802
CA_000007_001_texte.txt;injections émollientes;0.7765
CA_000007_001_texte.txt;apophyses transverses;0.7756
CA_000007_001_texte.txt;apophyses épineuses;0.7731
CA_000007_001_texte.txt;altérations organiques profondes;0.7728
CA_000007_001_texte.txt;m. baudens(lambeaux;0.7548
CA_000007_001_texte.txt;flexion sous-métatarso-phalangien;0.7497
CA_000007_001_texte.txt;bistouri convexe;0.7496
CA_000007_001_texte.txt;amputations médio-taiisien;0.7466
CA_000007_001_texte.txt;articulation intermétacarpienne;0.7462
CA_000007_001_texte.txt;hémorragies capillaires;0.7721
CA_000007_001_texte.txt;apophyses épineuses;0.7715
CA_000007_001_texte.txt;procédés hémostatiques préventifs;0.7691
CA_000007_001_texte.txt;191.—excroissances cutanées;0.7690
CA_000007_001_texte.txt;aponévrose sous-cutanée;0.7642
CA_000007_001_texte.txt;aponévrose antibrachiale;0.7428
CA_000007_001_texte.txt;aponévrose pharyngienne postérieure;0.7387
CA_000007_001_texte.txt;d. demi-tendineux;0.7367
