Filename;Keyphrase;Score
CN_000031_003_texte.txt;eàll3ry,)logil;0.7644
CN_000031_003_texte.txt;cn_000031_003</cote;0.7408
CN_000031_003_texte.txt;itogli1·.'s;0.7368
CN_000031_003_texte.txt;t1l.1\10y;0.7312
CN_000031_003_texte.txt;co)ib.11;0.7308
CN_000031_003_texte.txt;stratum cellulosum;0.7120
CN_000031_003_texte.txt;couche interposée;0.7108
CN_000031_003_texte.txt;stratum granulosum;0.7042
CN_000031_003_texte.txt;volution godronnée;0.7019
CN_000031_003_texte.txt;hippocampe;0.6986
CN_000031_003_texte.txt;nervus cochleae;0.7713
CN_000031_003_texte.txt;plexus choroïdes;0.7610
CN_000031_003_texte.txt;evolutione pro- grediente;0.7604
CN_000031_003_texte.txt;étrangle-;0.7602
CN_000031_003_texte.txt;tance amorphe;0.7586
CN_000031_003_texte.txt;ganglions microscopiques enclavés;0.7651
CN_000031_003_texte.txt;cellules nerveuses bipolaires;0.7619
CN_000031_003_texte.txt;ganglions géniculés;0.7579
CN_000031_003_texte.txt;antécédents héréditaires;0.7493
CN_000031_003_texte.txt;ganglions microscopiques;0.7489
CN_000031_003_texte.txt;conditions hygiéniques déplorables;0.7636
CN_000031_003_texte.txt;image obsédante del';0.7623
CN_000031_003_texte.txt;infiltration mucoïde;0.7590
CN_000031_003_texte.txt;hallucinations;0.7575
CN_000031_003_texte.txt;antécédent névropathique;0.7558
CN_000031_003_texte.txt;épithélioma ulcéreux;0.7995
CN_000031_003_texte.txt;hallucinations fréquentes;0.7908
CN_000031_003_texte.txt;altération importante;0.7901
CN_000031_003_texte.txt;cirrhose atrophique;0.7870
CN_000031_003_texte.txt;veines lombaires obstruées;0.7841
CN_000031_003_texte.txt;hémiparésies passagères;0.7733
CN_000031_003_texte.txt;dilatation centrifuge;0.7717
CN_000031_003_texte.txt;hémorrhagie intra-ventriculaire pri-;0.7679
CN_000031_003_texte.txt;inertie pupillaires;0.7678
CN_000031_003_texte.txt;épilepsie .traumatique;0.7677
CN_000031_003_texte.txt;hémorrhagie intra-ventriculaire primitive;0.7571
CN_000031_003_texte.txt;hémorrhagie intra- ventriculaire;0.7471
CN_000031_003_texte.txt;hémorrhagie intra-ventri-;0.7469
CN_000031_003_texte.txt;r'b'iit'eà'lobse'rvè;0.7358
CN_000031_003_texte.txt;côiiditiôris`(gôiitté;0.7312
CN_000031_003_texte.txt;dégouttantes;0.7857
CN_000031_003_texte.txt;altération partielle saillante;0.7752
CN_000031_003_texte.txt;aliénation mentale;0.7721
CN_000031_003_texte.txt;abhorentes;0.7673
CN_000031_003_texte.txt;alaxie locomotrice;0.7644
CN_000031_003_texte.txt;"p.1ciitdei2\iiqi;r.";0.7994
CN_000031_003_texte.txt;vii.i.e;0.7643
CN_000031_003_texte.txt;- épileptiquebémianestuésique;0.7605
CN_000031_003_texte.txt;hémi- paralytique persiste;0.7584
CN_000031_003_texte.txt;état paralytique;0.7572
CN_000031_003_texte.txt;infiltration mucoïde';0.7997
CN_000031_003_texte.txt;antécédents syphilitiques;0.7728
CN_000031_003_texte.txt;antécédents nerveux;0.7662
CN_000031_003_texte.txt;engorgements ganglionnaires;0.7662
CN_000031_003_texte.txt;troubles trophiques analogues;0.7616
CN_000031_003_texte.txt;ulcérations superficielles;0.7867
CN_000031_003_texte.txt;apophyses épineuses;0.7754
CN_000031_003_texte.txt;antécédents héréditaires;0.7752
CN_000031_003_texte.txt;éruptions vésiculaires;0.7704
CN_000031_003_texte.txt;altérations tégumentaires;0.7676
CN_000031_003_texte.txt;oppression trèsintense;0.7520
CN_000031_003_texte.txt;attaque paralytique;0.7472
CN_000031_003_texte.txt;itiestliésie hystérique;0.7471
CN_000031_003_texte.txt;fasciculée descendante;0.7464
CN_000031_003_texte.txt;antécédents héréditaires;0.7452
CN_000031_003_texte.txt;famillë affolée;0.7552
CN_000031_003_texte.txt;crédulité publique;0.7539
CN_000031_003_texte.txt;facultés infé- rieures;0.7493
CN_000031_003_texte.txt;épilepsie hémiplégique;0.7471
CN_000031_003_texte.txt;épilepsie spinale;0.7434
CN_000031_003_texte.txt;illusions évanouies;0.7760
CN_000031_003_texte.txt;hallucinations;0.7635
CN_000031_003_texte.txt;hystérie légère;0.7617
CN_000031_003_texte.txt;crédulité facile;0.7580
CN_000031_003_texte.txt;attaques convulsives;0.7516
CN_000031_003_texte.txt;démences paralytiques;0.7764
CN_000031_003_texte.txt;hallucinations visuelles;0.7655
CN_000031_003_texte.txt;déchéance pondérale pro- gressives;0.7614
CN_000031_003_texte.txt;convulsions épileptiformes;0.7610
CN_000031_003_texte.txt;inégalité pupillaire;0.7563
CN_000031_003_texte.txt;inégalité pupillaire;0.7771
CN_000031_003_texte.txt;impulsions subites;0.7730
CN_000031_003_texte.txt;parésie accommodative;0.7708
CN_000031_003_texte.txt;diplopie paralytique;0.7684
CN_000031_003_texte.txt;aggravation;0.7680
CN_000031_003_texte.txt;thalmie congénitale;0.7832
CN_000031_003_texte.txt;convulsions épileptiformes;0.7823
CN_000031_003_texte.txt;ophth(tlinie sympathique;0.7779
CN_000031_003_texte.txt;convulsions cloniques;0.7734
CN_000031_003_texte.txt;paramyoklonus multiple;0.7732
CN_000031_003_texte.txt;congestions cérébrales épileptiformes;0.7828
CN_000031_003_texte.txt;pseudo-paralysie générale;0.7612
CN_000031_003_texte.txt;encéphalopathie rhumatismale;0.7606
