Filename;Keyphrase;Score
CA_000002_001_texte.txt;nom d' apophyse;0.8119
CA_000002_001_texte.txt;étude d' anatomie;0.7998
CA_000002_001_texte.txt;nom de canaux émissaires;0.7942
CA_000002_001_texte.txt;centres d' ossification;0.7891
CA_000002_001_texte.txt;i,55-i,4o i,3c)-i,3o;0.7865
CA_000002_001_texte.txt;arrachement de i' étrier;0.8217
CA_000002_001_texte.txt;stase papillaire;0.8155
CA_000002_001_texte.txt;nom d' hydropisie céphalo;0.8141
CA_000002_001_texte.txt;plexus veineux protubérantiels;0.8123
CA_000002_001_texte.txt;abcès multiples encéphaliques;0.8118
CA_000002_001_texte.txt;stase papillaire;0.7768
CA_000002_001_texte.txt;abcès encéphaliques;0.7746
CA_000002_001_texte.txt;centre d' équilibration;0.7720
CA_000002_001_texte.txt;traité d' embryologie;0.7711
CA_000002_001_texte.txt;bactériologie des otites;0.7700
Filename;Keyphrase;Score
CA_000003_001_texte.txt;proéminence arrondie;0.7630
CA_000003_001_texte.txt;scissure inter-hémisphérique;0.7624
CA_000003_001_texte.txt;dilatation occipitale;0.7608
CA_000003_001_texte.txt;degré d' évolution;0.7594
CA_000003_001_texte.txt;anfractuosités du lobe;0.7576
CA_000003_001_texte.txt;cii' convolutions occipitales externes;0.7868
CA_000003_001_texte.txt;étude des anfractuosités;0.7705
CA_000003_001_texte.txt;scissure inter-hémisphérique;0.7692
CA_000003_001_texte.txt;interférence des ondulations;0.7677
CA_000003_001_texte.txt;différence d' interprétation;0.7647
CA_000003_001_texte.txt;circonvolution d' hippocampe;0.7720
CA_000003_001_texte.txt;glohus pallidus;0.7613
CA_000003_001_texte.txt;scissure occipitale irrterne;0.7548
CA_000003_001_texte.txt;tubercule de jonctiori;0.7531
CA_000003_001_texte.txt;différentiation des faisceaux;0.7522
CA_000003_001_texte.txt;degré d' obliquité;0.7944
CA_000003_001_texte.txt;effet.l' étendue verticale;0.7906
CA_000003_001_texte.txt;sorte d' invagination;0.7868
CA_000003_001_texte.txt;convexité du corps;0.7835
CA_000003_001_texte.txt;nom d' opercule;0.7785
CA_000003_001_texte.txt;émanation directe;0.7732
CA_000003_001_texte.txt;émanation du tegmentum;0.7723
CA_000003_001_texte.txt;tractus transversus pedunculi;0.7629
CA_000003_001_texte.txt;irradiations du stratum;0.7619
CA_000003_001_texte.txt;démarcation tranchée;0.7614
CA_000003_001_texte.txt;irradiation du stratum;0.7559
CA_000003_001_texte.txt;tractus transversus pedunculi;0.7503
CA_000003_001_texte.txt;iiabénule écorce;0.7489
CA_000003_001_texte.txt;imbrication des faisceaux;0.7476
CA_000003_001_texte.txt;bandelette sous-optique interposée;0.7469
CA_000003_001_texte.txt;irradiations lenticulaires;0.7598
CA_000003_001_texte.txt;écorce du gyrus vestibuli;0.7583
CA_000003_001_texte.txt;ramifications terminales;0.7569
CA_000003_001_texte.txt;stratifications lamellaires;0.7564
CA_000003_001_texte.txt;irradiations convergentes;0.7513
CA_000003_001_texte.txt;scissure occipitale interne;0.7315
CA_000003_001_texte.txt;scissure occipitale externe;0.7286
CA_000003_001_texte.txt;incision sagittale interhémisphérique;0.7280
