Filename;Keyphrase;Score
CL_000004_001_texte.txt;attaques d' hystérie;0.8123
CL_000004_001_texte.txt;observation d' hystérie;0.8062
CL_000004_001_texte.txt;attaque d' hystérie;0.8042
CL_000004_001_texte.txt;hystérie épileptiforme;0.7975
CL_000004_001_texte.txt;accès d' épilepsie;0.7910
CL_000004_001_texte.txt;pagné d' hallucinations;0.7959
CL_000004_001_texte.txt;accès d' épilepsie;0.7955
CL_000004_001_texte.txt;attaque d' hystérie;0.7881
CL_000004_001_texte.txt;t. convulsions;0.7854
CL_000004_001_texte.txt;convulsions cloniques généralisées;0.7823
CL_000004_001_texte.txt;prodromes des attaques.—;0.7763
CL_000004_001_texte.txt;commotions épileptoïdes générales;0.7711
CL_000004_001_texte.txt;attaques d' hystérie;0.7700
CL_000004_001_texte.txt;hallucinations terribles;0.7641
CL_000004_001_texte.txt;scènes d' hallucinations;0.7616
CL_000004_001_texte.txt;hystérie épileptiforme;0.7872
CL_000004_001_texte.txt;vation d' hystérie;0.7867
CL_000004_001_texte.txt;cas d' hystérie;0.7858
CL_000004_001_texte.txt;attaque d' hystérie;0.7854
CL_000004_001_texte.txt;tions d' hystérie;0.7833
CL_000004_001_texte.txt;attaques d' hystérie;0.7659
CL_000004_001_texte.txt;attaque d' hystérie;0.7607
CL_000004_001_texte.txt;observations d' hystérie;0.7570
CL_000004_001_texte.txt;exemple d' hystérie;0.7487
CL_000004_001_texte.txt;paroxysmes d' extase;0.7479
CL_000004_001_texte.txt;état de demi-connais-sance;0.7840
CL_000004_001_texte.txt;fait d' hystérie;0.7749
CL_000004_001_texte.txt;nom de léthargie;0.7743
CL_000004_001_texte.txt;sorte de léthargie;0.7724
CL_000004_001_texte.txt;cas d' hystérie;0.7719
CL_000004_001_texte.txt;expériences d' hérai - léthargie;0.7788
CL_000004_001_texte.txt;phénomènes d' hallucinations;0.7746
CL_000004_001_texte.txt;cas d' hystérie;0.7623
CL_000004_001_texte.txt;empire d' hallucinations;0.7581
CL_000004_001_texte.txt;léthargie avec hyper-rexcitabilité;0.7571
CL_000004_001_texte.txt;convulsions hystériques épileptiformes;0.7941
CL_000004_001_texte.txt;signes d' hystérie;0.7927
CL_000004_001_texte.txt;phénomènes d' hémiléthargie;0.7924
CL_000004_001_texte.txt;accès d' épilepsie;0.7899
CL_000004_001_texte.txt;agitation redoublent.—au milieu;0.7890
CL_000004_001_texte.txt;exagération des réflexes;0.7968
CL_000004_001_texte.txt;accès d' épilepsie;0.7942
CL_000004_001_texte.txt;cas d' hystérie;0.7922
CL_000004_001_texte.txt;hémiplégiques par lésion;0.7892
CL_000004_001_texte.txt;agents œsthésiogènes;0.7887
CL_000004_001_texte.txt;accès d' hystérie soïit;0.7835
CL_000004_001_texte.txt;attaque d' hystérie;0.7823
CL_000004_001_texte.txt;hallucinations des hystériques;0.7710
CL_000004_001_texte.txt;hallucinations génésiques;0.7692
CL_000004_001_texte.txt;attaque d' hystéro - épilepsie;0.7620
CL_000004_001_texte.txt;défenseur des doctrines jansénistes;0.7279
CL_000004_001_texte.txt;cas d' hystérie;0.7257
CL_000004_001_texte.txt;actions déréglées*.;0.7178
CL_000004_001_texte.txt;nom d' apoplexie;0.7174
CL_000004_001_texte.txt;asiles d' abénés;0.7140
CL_000004_001_texte.txt;léthargie ................................................;0.7806
CL_000004_001_texte.txt;attaque de somnambulisme .................................;0.7784
CL_000004_001_texte.txt;agitations des possédés;0.7778
CL_000004_001_texte.txt;sorte de léthargie;0.7758
CL_000004_001_texte.txt;signes d' hystérie;0.7750
