Filename;Keyphrase;Score
CN_000029_001_texte.txt;psilrlroloqiue.s ·;0.7336
CN_000029_001_texte.txt;4lpedz imprimerie;0.7119
CN_000029_001_texte.txt;conditions d' étude;0.6999
CN_000029_001_texte.txt;direction de j.-m.;0.6918
CN_000029_001_texte.txt;influence des progrès;0.6905
CN_000029_001_texte.txt;grossissement suffisant;0.7761
CN_000029_001_texte.txt;modes d' altération;0.7732
CN_000029_001_texte.txt;étranglements annulaires;0.7612
CN_000029_001_texte.txt;sence d' étranglements;0.7611
CN_000029_001_texte.txt;myéline granuleuse;0.7539
CN_000029_001_texte.txt;/névrite parenchymateuse;0.7828
CN_000029_001_texte.txt;inégalité de lésion;0.7715
CN_000029_001_texte.txt;étranglements annulaires;0.7594
CN_000029_001_texte.txt;névrite parenchymateuse;0.7583
CN_000029_001_texte.txt;myéline granuleuse;0.7574
CN_000029_001_texte.txt;habitudes d' intempérance;0.7742
CN_000029_001_texte.txt;attaques d' épilepsie;0.7592
CN_000029_001_texte.txt;hallucinations pénibles;0.7531
CN_000029_001_texte.txt;altérations profondes;0.7496
CN_000029_001_texte.txt;exagération du mouvement;0.7483
CN_000029_001_texte.txt;tentative d' empoisonnement;0.7253
CN_000029_001_texte.txt;hallucinations mul-;0.7144
CN_000029_001_texte.txt;hallucinations multiples;0.7113
CN_000029_001_texte.txt;maladies nerveuses préexistantes;0.7099
CN_000029_001_texte.txt;accès dipsomaniaque;0.7081
CN_000029_001_texte.txt;accès d' épilepsie;0.7878
CN_000029_001_texte.txt;absence d' antécédents;0.7831
CN_000029_001_texte.txt;accès d' étouffement;0.7794
CN_000029_001_texte.txt;cas d' hydrocéphalie;0.7758
CN_000029_001_texte.txt;ulcérations au niveau;0.7709
CN_000029_001_texte.txt;90.-a1'auscultation du coeur;0.7931
CN_000029_001_texte.txt;siège de secousses tétaniformes;0.7927
CN_000029_001_texte.txt;influence d' agents;0.7925
CN_000029_001_texte.txt;attaque d' apo-;0.7870
CN_000029_001_texte.txt;prise d' étourdissement;0.7863
CN_000029_001_texte.txt;essais de m.;0.7874
CN_000029_001_texte.txt;élévations de température;0.7805
CN_000029_001_texte.txt;schema de m.;0.7779
CN_000029_001_texte.txt;apo- physe;0.7777
CN_000029_001_texte.txt;communication de m.;0.7755
CN_000029_001_texte.txt;nombre d' incitations volon-;0.7549
CN_000029_001_texte.txt;étude histologique;0.7458
CN_000029_001_texte.txt;déviations par excitation;0.7450
CN_000029_001_texte.txt;action des antagonistes;0.7444
CN_000029_001_texte.txt;irradiations calorifiques obliques;0.7442
CN_000029_001_texte.txt;apophyse mastoïde;0.7119
CN_000029_001_texte.txt;cas d' hémiplégie;0.7116
CN_000029_001_texte.txt;existence des dégé- nérations;0.7106
CN_000029_001_texte.txt;hyperesthésie du membre para-;0.7093
CN_000029_001_texte.txt;altération constante;0.7044
CN_000029_001_texte.txt;ouïe.-une céphalalgie;0.7965
CN_000029_001_texte.txt;cas d' épilepsie;0.7941
CN_000029_001_texte.txt;manifestations délirantes paralytiques;0.7938
CN_000029_001_texte.txt;degré d' atrophie;0.7877
CN_000029_001_texte.txt;ecchymoses stomacales;0.7876
CN_000029_001_texte.txt;exhibitionnistes de m.;0.8057
CN_000029_001_texte.txt;plexité des incitations;0.8023
CN_000029_001_texte.txt;perversion génésique;0.7995
CN_000029_001_texte.txt;aberrations du sens génésique;0.7919
CN_000029_001_texte.txt;traité d' ophthalmologie;0.7905
CN_000029_001_texte.txt;asiles d' aliénés;0.8120
CN_000029_001_texte.txt;aliénés convalescents;0.7929
CN_000029_001_texte.txt;aliénés indigents;0.7838
CN_000029_001_texte.txt;quartiers d' aliénés;0.7797
CN_000029_001_texte.txt;approbation de m.;0.7763
CN_000029_001_texte.txt;à-vis des irritations;0.7731
CN_000029_001_texte.txt;exagération de phénomènes;0.7637
CN_000029_001_texte.txt;amplitude des oscillations;0.7543
CN_000029_001_texte.txt;inflammation parenchymateuse;0.7534
CN_000029_001_texte.txt;cas d' hémiplégie;0.7524
CN_000029_001_texte.txt;paraplégie avec contrac- ture;0.7722
CN_000029_001_texte.txt;amplitude des mouve- ments;0.7704
CN_000029_001_texte.txt;autopsie d' épileptiques;0.7626
CN_000029_001_texte.txt;exagération de toni- cité;0.7611
CN_000029_001_texte.txt;différence d' amplitude;0.7610
CN_000029_001_texte.txt;expr' imàn*tund';0.8221
CN_000029_001_texte.txt;un'/)'<m' e;0.8043
CN_000029_001_texte.txt;pieds.- gémisse- ments;0.7927
CN_000029_001_texte.txt;ci2,coîzvolu- tions;0.7918
CN_000029_001_texte.txt;côté ° 'des méninges;0.7910
CN_000029_001_texte.txt;accès d' épilepsie;0.8127
CN_000029_001_texte.txt;inégalité des hémisphères;0.8030
CN_000029_001_texte.txt;cas d' épilepsie;0.7996
CN_000029_001_texte.txt;pas d' antécédents;0.7927
CN_000029_001_texte.txt;inégalité de volume;0.7901
CN_000029_001_texte.txt;itftnrrf.i' nftfllo'1(l';0.8381
CN_000029_001_texte.txt;a^nrlr)ü' m2;0.8280
CN_000029_001_texte.txt;"qp""r¡""""(t encéphalite chronique";0.8082
CN_000029_001_texte.txt;"gu' er""cesrtoüfes' ipetites cellules";0.8033
CN_000029_001_texte.txt;.1'i lll;0.7997
CN_000029_001_texte.txt;91rl).\nhgr' jcue;0.8083
CN_000029_001_texte.txt;r ' .w lt v · vi;0.7871
CN_000029_001_texte.txt;' m$tnllotli'61'aljie;0.7768
CN_000029_001_texte.txt;oùiils peuvei1vêtreléon-;0.7706
CN_000029_001_texte.txt;un' nialàde1;0.7656
CN_000029_001_texte.txt;inhalations par ac- tion réllexe;0.7449
CN_000029_001_texte.txt;moyen d' insensibilisation;0.7435
CN_000029_001_texte.txt;protoxyde d' azote;0.7388
CN_000029_001_texte.txt;fut' hiséineht' réüi1staté;0.7382
CN_000029_001_texte.txt;essais d' électrisation;0.7370
CN_000029_001_texte.txt;paraplégies avec réaction;0.7693
CN_000029_001_texte.txt;réaction de dégénérescence;0.7666
CN_000029_001_texte.txt;névrite dégénérative atrophique;0.7635
