Filename;Keyphrase;Score
CO_000092_010_texte.txt;sorte d' anatomie;0.7643
CO_000092_010_texte.txt;moyens d' étude;0.7625
CO_000092_010_texte.txt;esprit d' analyse;0.7591
CO_000092_010_texte.txt;société 31édic0-psyciiologique;0.7585
CO_000092_010_texte.txt;conseils de m.;0.7561
CO_000092_010_texte.txt;foyers d' hémorrhagie;0.7717
CO_000092_010_texte.txt;a. racines antérieures;0.7639
CO_000092_010_texte.txt;soufferl de paraplégie;0.7633
CO_000092_010_texte.txt;dégénération secondaire descendante;0.7615
CO_000092_010_texte.txt;c. racines antérieures;0.7610
CO_000092_010_texte.txt;ataxie locomotrice progressive;0.7683
CO_000092_010_texte.txt;ataxie locomotrice;0.7582
CO_000092_010_texte.txt;zone radiculaire sclérosée;0.7559
CO_000092_010_texte.txt;homogénéité du tissu;0.7519
CO_000092_010_texte.txt;sclérose latérale amyotrophique;0.7514
CO_000092_010_texte.txt;hémorrhagies puerpérales;0.8068
CO_000092_010_texte.txt;endocardite ulcéreuse;0.8022
CO_000092_010_texte.txt;altérations du myocarde;0.7976
CO_000092_010_texte.txt;neurasthémie monosymptomatique;0.7961
CO_000092_010_texte.txt;cas d' athétose;0.7911
