Filename;Keyphrase;Score
CL_000001_001_texte.txt;ouvrage de m.;0.8109
CL_000001_001_texte.txt;existence d' altérations;0.8006
CL_000001_001_texte.txt;degré d' hypérémie;0.8005
CL_000001_001_texte.txt;altérations histologïques;0.8001
CL_000001_001_texte.txt;atteinte d' ataxie locomotrice;0.7988
CL_000001_001_texte.txt;cas d' ataxie locomotrice;0.7980
CL_000001_001_texte.txt;état d' hypérémie;0.7864
CL_000001_001_texte.txt;ouvrage de m.;0.7837
CL_000001_001_texte.txt;observations d' hémiparaplégie;0.7795
CL_000001_001_texte.txt;développement d' ulcérations;0.7793
CL_000001_001_texte.txt;taques d' hystérie;0.7561
CL_000001_001_texte.txt;hémorrhagie intra-eucéphaliques;0.7540
CL_000001_001_texte.txt;ouvrage de m.;0.7513
CL_000001_001_texte.txt;stigmates indélébiles;0.7512
CL_000001_001_texte.txt;épaississement des trabécules;0.7482
CL_000001_001_texte.txt;hystérie épileptiforme;0.7948
CL_000001_001_texte.txt;attaque d' hystérie commune,—;0.7920
CL_000001_001_texte.txt;symptômes d' hystérie;0.7856
CL_000001_001_texte.txt;cas d' hystérie;0.7841
CL_000001_001_texte.txt;accès d' épilepsie;0.7833
CL_000001_001_texte.txt;attaques d' hystérie;0.8007
CL_000001_001_texte.txt;cas d' hystérie;0.7971
CL_000001_001_texte.txt;matière d' hystérie;0.7950
CL_000001_001_texte.txt;attaque d' hystérie;0.7929
CL_000001_001_texte.txt;accès d' épilepsie;0.7927
CL_000001_001_texte.txt;hystérie épileptiforme;0.7870
CL_000001_001_texte.txt;ecchymoses viscérales consécutives;0.7811
CL_000001_001_texte.txt;altération des urines;0.7732
CL_000001_001_texte.txt;eruptions eczémateuses;0.7724
CL_000001_001_texte.txt;hémorrhagies des cap-sules;0.7715
Filename;Keyphrase;Score
CL_000001_002_texte.txt;manifestes d' ataxie;0.7234
CL_000001_002_texte.txt;irritation parenchymateuse;0.7173
CL_000001_002_texte.txt;degré d' atrophie;0.7150
CL_000001_002_texte.txt;demi-liberté des mouvements;0.7130
CL_000001_002_texte.txt;parésie avec atrophie;0.7108
CL_000001_002_texte.txt;fortuite de phénomènes;0.7634
CL_000001_002_texte.txt;affaissement des vertèbres;0.7628
CL_000001_002_texte.txt;absence d' altérations;0.7618
CL_000001_002_texte.txt;° prompte diminution;0.7610
CL_000001_002_texte.txt;manière imparfaite;0.7587
CL_000001_002_texte.txt;cas d' ataxie locomotrice;0.8056
CL_000001_002_texte.txt;exemple d' ataxie locomotrice;0.7953
CL_000001_002_texte.txt;symptômes d' amyotrophie;0.7862
CL_000001_002_texte.txt;déformations paralytiques;0.7820
CL_000001_002_texte.txt;amyotrophie spinale deutéropalhique;0.7818
CL_000001_002_texte.txt;accès d' hystérie convulsive;0.7719
CL_000001_002_texte.txt;attaques d' hystérie;0.7658
CL_000001_002_texte.txt;accès d' épilepsie;0.7472
CL_000001_002_texte.txt;secousses convulsives rhytmiques;0.7471
CL_000001_002_texte.txt;faits d' expérimenta - tion;0.7444
CL_000001_002_texte.txt;accès d' épilepsie;0.7880
CL_000001_002_texte.txt;phalite congénitale interstitielle;0.7850
CL_000001_002_texte.txt;luxation sous-coracoïdienne complète;0.7834
CL_000001_002_texte.txt;de-gré d' infiltration;0.7816
