Filename,Keyphrase,Score
CA_000001_001_texte.txt,- thropologistes,0.7682
CA_000001_001_texte.txt,observations exactes,0.7587
CA_000001_001_texte.txt,flexuosités singulières,0.7571
CA_000001_001_texte.txt,anatomistes modernes,0.7513
CA_000001_001_texte.txt,témoins irrécusables,0.7481
CA_000001_001_texte.txt,singes anthropomorphes,0.7607
CA_000001_001_texte.txt,singe anthropomorphe,0.7600
CA_000001_001_texte.txt,hémisphère atrophié,0.7560
CA_000001_001_texte.txt,éléphants,0.7550
CA_000001_001_texte.txt,vertèbre occipitale,0.7540
CA_000001_001_texte.txt,irradiations nerveuses,0.7313
CA_000001_001_texte.txt,expansions fibreuses homologues,0.7205
CA_000001_001_texte.txt,résultats suffisants,0.7184
CA_000001_001_texte.txt,points cérébraux homologues,0.7182
CA_000001_001_texte.txt,mammifères,0.7137
CA_000001_002_texte.txt,ctto(eiêip3mïlii§.,0.7334
CA_000001_002_texte.txt,naturki.i.k,0.7036
CA_000001_002_texte.txt,semnopithèque maure,0.6910
CA_000001_002_texte.txt,semnopithèque nasique,0.6860
CA_000001_002_texte.txt,lobule occipital interne,0.6822
CA_000002_001_texte.txt,anthropologie zoologique,0.7853
CA_000002_001_texte.txt,apophyse zygomatique,0.7853
CA_000002_001_texte.txt,émissaires temporales 4i4,0.7852
CA_000002_001_texte.txt,apophyse mastoïde,0.7845
CA_000002_001_texte.txt,apophyses scléreuses,0.7827
CA_000002_001_texte.txt,stase papillaire,0.8155
CA_000002_001_texte.txt,transmission cranio - tympanique,0.8125
CA_000002_001_texte.txt,rainure tympanale,0.8100
CA_000002_001_texte.txt,scissure pétro - tympanique,0.8098
CA_000002_001_texte.txt,opercule rolandique,0.8090
CA_000002_001_texte.txt,stase papillaire,0.7768
CA_000002_001_texte.txt,abcès encéphaliques,0.7746
CA_000002_001_texte.txt,inégalité pupillaire,0.7687
CA_000002_001_texte.txt,apophyse mastoïde,0.7666
CA_000002_001_texte.txt,abcès cérébelleux profonds,0.7665
CA_000003_001_texte.txt,ïhypophyse,0.7642
CA_000003_001_texte.txt,proéminence arrondie,0.7630
CA_000003_001_texte.txt,scissure inter-hémisphérique,0.7624
CA_000003_001_texte.txt,dilatation occipitale,0.7608
CA_000003_001_texte.txt,hopital saint-antoine,0.7592
CA_000003_001_texte.txt,cii' convolutions occipitales externes,0.7868
CA_000003_001_texte.txt,scissure inter-hémisphérique,0.7692
CA_000003_001_texte.txt,incisures longitudinales,0.7641
CA_000003_001_texte.txt,incisures descendantes,0.7614
CA_000003_001_texte.txt,scissure interhémisphérique,0.7605
CA_000003_001_texte.txt,glohus pallidus,0.7613
CA_000003_001_texte.txt,scissure occipitale irrterne,0.7548
CA_000003_001_texte.txt,démarcation tranchée,0.7520
CA_000003_001_texte.txt,masse hémisphérique,0.7509
CA_000003_001_texte.txt,masse protubérantielle,0.7503
CA_000003_001_texte.txt,scissure sous-frontale,0.7768
CA_000003_001_texte.txt,scissure sous-pariétale,0.7755
CA_000003_001_texte.txt,scissure limbique,0.7751
CA_000003_001_texte.txt,portion horizontale interposée,0.7749
CA_000003_001_texte.txt,effet.l',0.7724
CA_000003_001_texte.txt,tractus transversus pedunculi,0.7629
CA_000003_001_texte.txt,émanation,0.7618
CA_000003_001_texte.txt,démarcation tranchée,0.7614
CA_000003_001_texte.txt,globus pallidus,0.7602
CA_000003_001_texte.txt,tuber cinereum,0.7509
CA_000003_001_texte.txt,globus pallidus,0.7534
CA_000003_001_texte.txt,tractus transversus pedunculi,0.7503
CA_000003_001_texte.txt,bandelette sous-optique interposée,0.7469
CA_000003_001_texte.txt,stratifications lamellaires,0.7422
CA_000003_001_texte.txt,substance grise sous-jacente,0.7420
CA_000003_001_texte.txt,globus pallidus,0.7614
