Keyphrase,Score_Charcot,Score_Autres,Score_Moyen,Renvoie_a,Dans_Reference,Sources_Charcot,Sources_Autres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mort de convulsions.-,0.828,0.826,0.827,épilepsie (procursive),oui,CN_000043_015_texte.txt,CY_000102_008_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
séquestrations arbi- traires,0.827,0.807,0.817,asiles d’aliénés et médecins,non,CN_000081_001_texte.txt,CY_000116_022_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
antécédents hériditaires,0.801,0.825,0.813,enfants,non,CN_000050_022_texte.txt,CY_000120_001_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
attaques d' hystérie convulsive,0.818,0.808,0.813,hystérie convulsive,oui,CL_000009_002_texte.txt,CS_000001_001_texte.txt, CS_000004_004_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fiées d' épileptiques,0.81,0.815,0.812,épilepsie,oui,CN_000046_018_texte.txt,CY_000103_009_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ulcération superficielle,0.812,0.811,0.812,"instabilité mentale, syphilis, imbécillité, perversion des instincts, impulsions génitales, gangrène cutanée d’origine hystérique",non,CN_000046_018_texte.txt,CY_000103_009_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grand-père paternel mort paraplégique,0.799,0.82,0.81,"cachexie pachydermique, idiotie crétinoïde",non,CN_000040_012_texte.txt,CY_000101_007_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scissure frontale infé- rieure sinueuse,0.811,0.809,0.81,épilepsie (procursive),oui,CN_000042_014_texte.txt,CY_000102_008_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pas d' altérations,0.782,0.838,0.81,"paralysie myasthénique, hérédo-ataxie cérébelleuse, neurofibromatose généralisée",non,CN_000040_012_texte.txt,CS_000017_017_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
méralgie pareslhésique,0.788,0.83,0.809,"névralgie, sensibilité, affection des nerfs",non,CN_000066_008_texte.txt,CO_000093_011_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
